OTU	L.CC14.1	L.CC14.2	L.CC14.3	L.CC15.1	L.CC15.2	L.CC15.3	L.CC11.1	L.CC11.2	L.CC11.3	L.CC18.1	L.CC18.2	L.CC18.3	L.CC7.1	L.CC7.2	L.CC7.3	L.CC13.1	L.CC13.2	L.CC13.3	L.CC6.1	L.CC6.2	L.CC6.3	L.CC16.1	L.CC16.2	L.CC16.3	L.CC5.1	L.CC5.2	L.CC5.3	L.CC9.1	L.CC9.2	L.CC9.3	L.CC8.1	L.CC8.2	L.CC8.3	L.CC17.1	L.CC17.2	L.CC17.3	L.CC19.1	L.CC19.2	L.CC19.3	L.CC3.1	L.CC3.2	L.CC3.3	L.CC10.1	L.CC10.2	L.CC10.3
Zotu3093	0	0	0	20	72	0	0	0	0	188	3	26	0	0	0	33	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	41	32	6	10	0	34	0	0	0	30	3	22	0	0	0	0	34	68	81	10	43	0	0	0
Zotu3095	28	0	0	48	19	0	0	0	0	21	77	3	0	0	0	38	12	0	0	0	7	0	9	3	0	0	9	0	0	0	0	0	8	17	0	8	24	0	0	26	49	0	6	6	0
Zotu3096	0	10	0	0	13	0	0	0	0	0	42	26	0	0	0	108	0	0	0	0	0	0	0	15	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	108	22	0	0	0	0
Zotu3097	0	0	0	7	0	0	24	0	0	0	0	0	48	6	29	0	37	5	56	0	0	0	0	0	0	12	48	0	0	0	0	0	4	0	0	0	4	0	3	0	13	0	0	53	9
Zotu3098	0	0	0	0	0	5	0	0	78	0	0	0	0	38	0	0	0	0	0	52	91	0	0	0	25	0	0	0	0	0	15	0	0	0	0	0	38	47	0	0	0	0	0	0	0
Zotu3099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	133	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu31	202	721	513	744	659	470	443	257	565	2051	875	811	581	316	215	1973	952	1218	600	389	535	149	262	296	657	403	803	511	29	0	760	864	517	254	1020	212	349	260	335	257	163	251	113	268	45
Zotu310	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	812	526	615	0	0	0	88	0	0	0	0	0	92	74	179	0	0	0	54	63	45	11	198	90	105	0	0
Zotu3100	0	0	0	75	24	100	0	0	0	0	0	0	0	0	0	0	0	38	89	0	0	0	51	60	70	0	46	0	0	0	9	30	118	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	80	183
Zotu3102	42	33	11	0	0	0	0	3	0	0	0	0	0	0	0	0	50	0	0	30	0	0	0	0	11	0	37	0	0	0	0	7	9	118	0	0	0	37	9	0	0	0	0	0	0
Zotu3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	130	55	96	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Zotu3104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	113	128	0	0	0	0	0	0
Zotu3106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	124	97	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	7	0	0	0
Zotu3107	56	0	12	0	0	0	18	0	77	0	0	0	54	33	0	33	0	0	0	0	0	0	0	0	26	16	19	0	0	0	3	0	10	8	0	0	24	0	0	0	6	0	0	0	0
Zotu3108	0	7	38	23	0	0	16	0	7	0	0	0	77	12	34	4	14	0	0	0	0	0	0	0	8	13	18	0	0	0	48	14	24	3	44	0	0	0	0	0	10	11	5	4	0
Zotu3109	6	18	7	0	3	3	0	12	0	0	8	0	15	13	8	0	0	0	6	6	41	9	21	12	11	19	43	0	0	0	0	23	12	0	0	17	14	0	0	0	0	22	51	0	10
Zotu311	34	52	60	166	55	224	83	38	97	673	144	321	30	4	94	328	174	197	0	0	0	47	86	0	66	21	67	0	0	0	0	0	0	0	50	13	26	0	45	83	24	18	0	0	0
Zotu3110	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	93	195	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3111	0	50	9	0	0	0	103	0	16	0	0	0	14	9	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	104
Zotu3112	80	90	18	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	45	92	41	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3113	14	13	9	8	3	21	56	0	0	14	0	12	19	12	23	30	0	0	3	9	18	13	0	4	0	6	45	0	0	0	7	0	18	0	0	3	3	6	14	3	0	6	0	0	20
Zotu3114	13	0	0	0	0	0	0	0	0	0	0	0	102	111	20	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	40	0	9	0	0	0	73	0	0	0	0	9	0	0	0
Zotu3115	0	0	15	0	19	24	0	0	35	0	5	20	5	10	9	0	12	0	0	11	0	14	36	0	26	25	40	0	0	0	34	29	15	0	3	0	0	19	0	4	11	6	0	0	0
Zotu3116	0	0	58	0	0	0	23	25	126	47	0	0	25	0	7	0	4	4	0	0	0	0	0	0	7	0	3	0	0	0	6	0	0	0	0	0	20	5	0	0	3	0	0	0	0
Zotu3117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	70	48	31	0	184	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
Zotu3118	30	4	0	0	0	0	100	0	3	0	0	0	31	45	101	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	66
Zotu3119	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	12	0	0	0	0	0	0	0	0	0	0	159	0
Zotu312	166	164	271	26	28	54	69	30	123	39	36	25	88	111	85	0	54	74	0	145	38	201	150	29	82	134	188	27	0	0	66	61	62	0	0	0	10	15	95	108	81	114	41	133	0
Zotu3120	0	0	0	102	20	0	0	0	0	0	118	117	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3121	29	0	0	24	0	67	0	0	0	45	17	0	0	0	0	13	44	0	0	0	0	0	0	0	12	7	18	0	0	0	0	11	32	0	40	0	0	4	0	8	0	10	0	0	0
Zotu3123	0	0	0	0	0	0	0	0	0	156	163	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	198	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
