phylum	PUA	PUA	PUA	PUA	PUE	PUE	PUE	PUE	CT	CT	CT	CT	CU	CU	CU	CU	PT	PT	PT	PT
Arthropoda	0	0	5	5	0	0	0	0	0	0	8.333333333	8.333333333	0	0	0	0	0	0	0	0
Arthropoda	0	7.333333333	10.66666667	18	0	0	0	0	47	110	35	192	0	16.33333333	0	16.33333333	3.666666667	0	37	40.66666667
Arthropoda	0	0	1.333333333	1.333333333	0	0	1	1	22.33333333	0	3.666666667	26	104.6666667	13.33333333	83.33333333	201.3333334	4	9	20.33333333	33.33333333
Arthropoda	0	0	0	0	0	0	0	0	2.333333333	0	2	4.333333333	0	0	0	0	0	4.666666667	8.333333333	13
Arthropoda	0	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	1.666666667	0	1.666666667	0	18.66666667	0	18.66666667	103	18.33333333	72.33333333	193.6666667	0	0	0	0	28	0	3	31
Arthropoda	0	14	3	17	0	4	0	4	0	0	0	0	0	0	0	0	0	3	0	3
Arthropoda	0	11.33333333	0	11.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	5.333333333	5.333333333	0	0	0	0	0	4.333333333	0	4.333333333	0	0	0	0	0	10	0	10
Arthropoda	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.333333333	4.333333333
Arthropoda	0	4	8	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Arthropoda	0	22.66666667	24	46.66666667	15	33.66666667	13.66666667	62.33333334	0	0	0	0	163	0	0	163	0	5	1.333333333	6.333333333
Arthropoda	70.33333333	43	17	130.3333333	53.33333333	5	43.33333333	101.6666667	0	0	0	0	0	0	0	0	0	12.33333333	7	19.33333333
Arthropoda	8	0	23	31	10.33333333	36.66666667	6.333333333	53.33333333	13.33333333	31.33333333	21.33333333	65.99999999	8	20.66666667	0	28.66666667	23.66666667	0	17.33333333	41
